layer,tag,mean_delta,max_delta,changed_ratio,collapse_ratio
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v,uce_fp,0.0013754102401435375,0.02533721923828125,0.9811198115348816,0.573718249797821
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.0.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k,uce_fp,0.0019977749325335026,0.03582763671875,0.9811991453170776,0.4598500430583954
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v,uce_fp,0.0014400094514712691,0.0335845947265625,0.9767608642578125,0.559112548828125
up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_out.0,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.0.proj,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.transformer_blocks.0.ff.net.2,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.1.proj_out,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.proj_in,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k,uce_fp,0.0,0.0,0.0,1.0
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_v,uce_fp,0.0,0.0,0.0,1.0
