key,stage,block_id,family,attn_group,shape,numel,changed_count,changed_ratio,l1_delta,l2_delta_sq,l2_delta,linf_delta,mean_abs_delta,l1_share_global,l2_energy_share_global
down_blocks.0.attentions.1.proj_out.weight,down,down_blocks.0,proj_out,non_attention,"(320, 320, 1, 1)",102400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.1.proj_in.weight,down,down_blocks.0,proj_in,non_attention,"(320, 320, 1, 1)",102400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.1.norm.weight,down,down_blocks.0,other,non_attention,"(320,)",320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.0.transformer_blocks.0.norm3.weight,down,down_blocks.0,other,non_attention,"(320,)",320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.0.transformer_blocks.0.norm2.weight,down,down_blocks.0,other,non_attention,"(320,)",320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.0.transformer_blocks.0.norm1.weight,down,down_blocks.0,other,non_attention,"(320,)",320,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.0.transformer_blocks.0.ff.net.2.weight,down,down_blocks.0,ff,non_attention,"(320, 1280)",409600,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k.weight,down,down_blocks.0,attn1_to_k,self_attention,"(320, 320)",102400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
down_blocks.0.attentions.1.transformer_blocks.0.attn1.to_v.weight,down,down_blocks.0,attn1_to_v,self_attention,"(320, 320)",102400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
up_blocks.2.resnets.1.conv2.weight,up,up_blocks.2,resnet_conv2,non_attention,"(640, 640, 3, 3)",3686400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
