quant_model,key,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_uce_count,closer_to_base_count,tie_count,closer_to_uce_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only
uce_int8,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,965668,0.9823282877604167,0.0019024722278118134,0.030675888061523438,0.0019366968190297484,0.0019025533692911267,0.001936580054461956,965668,1.0,965561,0,107,0.9998891958727016,0.0,0.00011080412729840897,965668,1.0,0.9991108775138855,1.0
uce_int8,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,964564,0.9812052408854167,0.0013754102401435375,0.02533721923828125,0.0014017557259649038,0.0013754733372479677,0.0014016623608767986,964564,1.0,964454,0,110,0.9998859588373608,0.0,0.00011404116263928573,964564,1.0,0.9990181922912598,1.0
uce_int8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,983040,964606,0.9812479654947917,0.0019977749325335026,0.03582763671875,0.002035953104496002,0.001997867599129677,0.002035829471424222,964606,1.0,964497,0,109,0.9998870004955391,0.0,0.00011299950446088869,964606,1.0,0.9989679455757141,1.0
uce_int8,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,983040,960293,0.9768605550130208,0.0014400094514712691,0.0335845947265625,0.001474119839258492,0.0014401021180674434,0.0014739990001544356,960293,1.0,960167,0,126,0.9998687900463713,0.0,0.00013120995362873622,960293,1.0,0.9984666109085083,1.0
uce_int8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,983040,966521,0.9831960042317708,0.001894788583740592,0.0360870361328125,0.001927172881551087,0.0018948629731312394,0.0019270462216809392,966521,1.0,966428,0,93,0.9999037786038792,0.0,9.622139612072578e-05,966521,1.0,0.999057948589325,1.0
uce_int8,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,983040,962757,0.9793670654296875,0.0013651291374117136,0.0263519287109375,0.0013938891934230924,0.0013652060879394412,0.0013937900075688958,962757,1.0,962640,0,117,0.9998784740074598,0.0,0.00012152599254017369,962757,1.0,0.9988798499107361,1.0
uce_int8,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,491520,484723,0.9861714680989583,0.002273131161928177,0.03851318359375,0.0023050063755363226,0.0022732054349035025,0.0023048962466418743,484723,1.0,484661,0,62,0.9998720918957837,0.0,0.00012790810421622247,484723,1.0,0.9992780089378357,1.0
uce_int8,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,491520,482594,0.9818400065104167,0.0019245825242251158,0.03490257263183594,0.001960179302841425,0.0019246768206357956,0.0019600677769631147,482594,1.0,482532,0,62,0.9998715276194897,0.0,0.00012847238051032545,482594,1.0,0.9991297721862793,1.0
uce_int8,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,491520,484478,0.9856730143229167,0.0022426554933190346,0.0437469482421875,0.002275252714753151,0.0022426999639719725,0.002275140257552266,484478,1.0,484421,0,57,0.999882347598859,0.0,0.00011765240114102188,484478,1.0,0.999237060546875,1.0
uce_int8,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,491520,485012,0.9867594401041667,0.001556228380650282,0.03311920166015625,0.0015771101461723447,0.0015562479384243488,0.0015770293539389968,485012,1.0,484953,0,59,0.9998783535252737,0.0,0.00012164647472639853,485012,1.0,0.9994150996208191,1.0
uce_int8,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k.weight,491520,483392,0.9834635416666667,0.0021339221857488155,0.0382232666015625,0.0021698034834116697,0.002133992500603199,0.0021696833427995443,483392,1.0,483332,0,60,0.9998758771349133,0.0,0.0001241228650867205,483392,1.0,0.9991113543510437,1.0
uce_int8,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v.weight,491520,482731,0.9821187337239583,0.0012652600416913629,0.0243988037109375,0.0012882963055744767,0.0012653161538764834,0.001288236235268414,482731,1.0,482671,0,60,0.999875707174389,0.0,0.00012429282561095102,482731,1.0,0.9991114139556885,1.0
uce_int8,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k.weight,245760,242302,0.9859293619791667,0.0018287923885509372,0.0385589599609375,0.0018548917723819613,0.0018288487335667014,0.0018547819927334785,242302,1.0,242228,0,74,0.999694596000033,0.0,0.00030540399996698334,242302,1.0,0.9993217587471008,1.0
uce_int8,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v.weight,245760,240416,0.9782552083333333,0.00042754795867949724,0.008575439453125,0.0004370514943730086,0.0004275701357983053,0.0004370131064206362,240416,1.0,240350,0,66,0.9997254758418741,0.0,0.0002745241581259151,240416,1.0,0.9986905455589294,1.0
uce_int8,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k.weight,245760,241117,0.9811075846354167,0.0019319988787174225,0.037750244140625,0.0019692019559442997,0.0019320514984428883,0.001969036180526018,241117,1.0,241065,0,52,0.9997843370645786,0.0,0.00021566293542139294,241117,1.0,0.998721182346344,1.0
uce_int8,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v.weight,245760,241636,0.9832194010416667,0.0006373683572746813,0.016427993774414062,0.0006482463213615119,0.000637405610177666,0.0006482162862084806,241636,1.0,241601,0,35,0.9998551540333394,0.0,0.00014484596666059692,241636,1.0,0.9989711046218872,1.0
uce_int8,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k.weight,245760,241625,0.9831746419270834,0.0015552230179309845,0.027618408203125,0.0015818380052223802,0.0015553022967651486,0.0015817362582311034,241625,1.0,241551,0,74,0.9996937403000518,0.0,0.00030625969994826696,241625,1.0,0.9991951584815979,1.0
uce_int8,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v.weight,245760,240862,0.9800699869791667,0.0005887073930352926,0.0133056640625,0.0006006789044477046,0.0005887449369765818,0.0006006519543007016,240862,1.0,240814,0,48,0.9998007157625528,0.0,0.00019928423744716893,240862,1.0,0.9989036917686462,1.0
uce_int4,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_k.weight,245760,241167,0.98131103515625,0.0022482892964035273,0.0413818359375,0.0022911077830940485,0.002248371485620737,0.0022909496910870075,241167,1.0,241112,0,55,0.9997719422640743,0.0,0.00022805773592572782,241167,1.0,0.9985877275466919,1.0
uce_int4,down_blocks.0.attentions.0.transformer_blocks.0.attn2.to_v.weight,245760,240518,0.9786702473958333,0.000648115761578083,0.012603759765625,0.0006622412474825978,0.0006481570308096707,0.0006621936918236315,240518,1.0,240474,0,44,0.9998170615089099,0.0,0.00018293849109006393,240518,1.0,0.9990803599357605,1.0
uce_int4,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_k.weight,245760,241065,0.98089599609375,0.001575905829668045,0.027706146240234375,0.001606598380021751,0.0015759693924337626,0.0016064789379015565,241065,1.0,240971,0,94,0.9996100636757721,0.0,0.00038993632422790534,241065,1.0,0.9988750219345093,1.0
uce_int4,down_blocks.0.attentions.1.transformer_blocks.0.attn2.to_v.weight,245760,241709,0.9835164388020833,0.0004666833265218884,0.009837150573730469,0.00047450486454181373,0.0004667164175771177,0.00047449133126065135,241709,1.0,241670,0,39,0.9998386489539074,0.0,0.0001613510460926155,241709,1.0,0.99925297498703,1.0
uce_int4,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,491520,485032,0.9868001302083333,0.0022571003064513206,0.0380859375,0.002287292154505849,0.0022571743465960026,0.0022872036788612604,485032,1.0,484982,0,50,0.9998969140180441,0.0,0.00010308598195582972,485032,1.0,0.9994422793388367,1.0
uce_int4,down_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,491520,482550,0.98175048828125,0.0007990166777744889,0.0228729248046875,0.0008138693519867957,0.0007990531739778817,0.0008138218545354903,482550,1.0,482490,0,60,0.9998756605533106,0.0,0.00012433944668946222,482550,1.0,0.99920654296875,1.0
uce_int4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,491520,484199,0.9851053873697917,0.00183130765799433,0.0406951904296875,0.001858996576629579,0.001831354689784348,0.0018588920356705785,484199,1.0,484138,0,61,0.9998740187402287,0.0,0.0001259812597712924,484199,1.0,0.9992651343345642,1.0
uce_int4,down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,491520,480939,0.978472900390625,0.0006248990539461374,0.02693939208984375,0.0006386472377926111,0.0006249250727705657,0.0006385940941981971,480939,1.0,480878,0,61,0.99987316478805,0.0,0.00012683521194995623,480939,1.0,0.9985308647155762,1.0
uce_int4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,965867,0.9825307210286458,0.001705241040326655,0.03765869140625,0.0017355600139126182,0.0017053039046004415,0.001735462574288249,965867,1.0,965751,0,116,0.9998799006488471,0.0,0.00012009935115290201,965867,1.0,0.999041736125946,1.0
uce_int4,down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,961424,0.9780110677083333,0.0009845379972830415,0.022159576416015625,0.0010066736722365022,0.0009845958556979895,0.0010065974202007055,961424,1.0,961281,0,143,0.9998512622942635,0.0,0.00014873770573649086,961424,1.0,0.9986332654953003,1.0
uce_int4,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,983040,966855,0.9835357666015625,0.0018084789626300335,0.045723915100097656,0.0018387527670711279,0.001808555913157761,0.0018386523006483912,966855,1.0,966746,0,109,0.999887263343521,0.0,0.00011273665647899634,966855,1.0,0.9991219639778137,1.0
uce_int4,down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,983040,964061,0.9806935628255208,0.001020030933432281,0.0182037353515625,0.0010401117615401745,0.0010200866963714361,0.0010400391183793545,964061,1.0,963943,0,118,0.9998776011061541,0.0,0.00012239889384592885,964061,1.0,0.9989281296730042,1.0
uce_int4,mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,964166,0.9808003743489583,0.0015572167467325926,0.032566070556640625,0.0015876998659223318,0.0015572868287563324,0.0015876053366810083,964166,1.0,964021,0,145,0.9998496109591087,0.0,0.0001503890408912988,964166,1.0,0.999019980430603,1.0
uce_int4,mid_block.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,963600,0.980224609375,0.0012860833667218685,0.027191162109375,0.001312029198743403,0.0012861579889431596,0.0013119387440383434,963600,1.0,963499,0,101,0.9998951847239519,0.0,0.00010481527604815277,963600,1.0,0.9988890886306763,1.0
uce_int4,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,983040,965668,0.9823282877604167,0.0019024722278118134,0.030675888061523438,0.0019366968190297484,0.0019025533692911267,0.001936580054461956,965668,1.0,965561,0,107,0.9998891958727016,0.0,0.00011080412729840897,965668,1.0,0.9991108775138855,1.0
uce_int4,up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_v.weight,983040,964564,0.9812052408854167,0.0013754102401435375,0.02533721923828125,0.0014017557259649038,0.0013754733372479677,0.0014016623608767986,964564,1.0,964454,0,110,0.9998859588373608,0.0,0.00011404116263928573,964564,1.0,0.9990181922912598,1.0
uce_int4,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_k.weight,983040,964606,0.9812479654947917,0.0019977749325335026,0.03582763671875,0.002035953104496002,0.001997867599129677,0.002035829471424222,964606,1.0,964497,0,109,0.9998870004955391,0.0,0.00011299950446088869,964606,1.0,0.9989679455757141,1.0
uce_int4,up_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,983040,960293,0.9768605550130208,0.0014400094514712691,0.0335845947265625,0.001474119839258492,0.0014401021180674434,0.0014739990001544356,960293,1.0,960167,0,126,0.9998687900463713,0.0,0.00013120995362873622,960293,1.0,0.9984666109085083,1.0
uce_int4,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,983040,966521,0.9831960042317708,0.001894788583740592,0.0360870361328125,0.001927172881551087,0.0018948629731312394,0.0019270462216809392,966521,1.0,966428,0,93,0.9999037786038792,0.0,9.622139612072578e-05,966521,1.0,0.999057948589325,1.0
uce_int4,up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v.weight,983040,962757,0.9793670654296875,0.0013651291374117136,0.0263519287109375,0.0013938891934230924,0.0013652060879394412,0.0013937900075688958,962757,1.0,962640,0,117,0.9998784740074598,0.0,0.00012152599254017369,962757,1.0,0.9988798499107361,1.0
uce_int4,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,491520,484723,0.9861714680989583,0.002273131161928177,0.03851318359375,0.0023050063755363226,0.0022732054349035025,0.0023048962466418743,484723,1.0,484661,0,62,0.9998720918957837,0.0,0.00012790810421622247,484723,1.0,0.9992780089378357,1.0
uce_int4,up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v.weight,491520,482594,0.9818400065104167,0.0019245825242251158,0.03490257263183594,0.001960179302841425,0.0019246768206357956,0.0019600677769631147,482594,1.0,482532,0,62,0.9998715276194897,0.0,0.00012847238051032545,482594,1.0,0.9991297721862793,1.0
uce_int4,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,491520,484478,0.9856730143229167,0.0022426554933190346,0.0437469482421875,0.002275252714753151,0.0022426999639719725,0.002275140257552266,484478,1.0,484421,0,57,0.999882347598859,0.0,0.00011765240114102188,484478,1.0,0.999237060546875,1.0
uce_int4,up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v.weight,491520,485012,0.9867594401041667,0.001556228380650282,0.03311920166015625,0.0015771101461723447,0.0015562479384243488,0.0015770293539389968,485012,1.0,484953,0,59,0.9998783535252737,0.0,0.00012164647472639853,485012,1.0,0.9994150996208191,1.0
uce_int4,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_k.weight,491520,483392,0.9834635416666667,0.0021339221857488155,0.0382232666015625,0.0021698034834116697,0.002133992500603199,0.0021696833427995443,483392,1.0,483332,0,60,0.9998758771349133,0.0,0.0001241228650867205,483392,1.0,0.9991113543510437,1.0
uce_int4,up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_v.weight,491520,482731,0.9821187337239583,0.0012652600416913629,0.0243988037109375,0.0012882963055744767,0.0012653161538764834,0.001288236235268414,482731,1.0,482671,0,60,0.999875707174389,0.0,0.00012429282561095102,482731,1.0,0.9991114139556885,1.0
uce_int4,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_k.weight,245760,242302,0.9859293619791667,0.0018287923885509372,0.0385589599609375,0.0018548917723819613,0.0018288487335667014,0.0018547819927334785,242302,1.0,242228,0,74,0.999694596000033,0.0,0.00030540399996698334,242302,1.0,0.9993217587471008,1.0
uce_int4,up_blocks.3.attentions.0.transformer_blocks.0.attn2.to_v.weight,245760,240416,0.9782552083333333,0.00042754795867949724,0.008575439453125,0.0004370514943730086,0.0004275701357983053,0.0004370131064206362,240416,1.0,240350,0,66,0.9997254758418741,0.0,0.0002745241581259151,240416,1.0,0.9986905455589294,1.0
uce_int4,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_k.weight,245760,241117,0.9811075846354167,0.0019319988787174225,0.037750244140625,0.0019692019559442997,0.0019320514984428883,0.001969036180526018,241117,1.0,241065,0,52,0.9997843370645786,0.0,0.00021566293542139294,241117,1.0,0.998721182346344,1.0
uce_int4,up_blocks.3.attentions.1.transformer_blocks.0.attn2.to_v.weight,245760,241636,0.9832194010416667,0.0006373683572746813,0.016427993774414062,0.0006482463213615119,0.000637405610177666,0.0006482162862084806,241636,1.0,241601,0,35,0.9998551540333394,0.0,0.00014484596666059692,241636,1.0,0.9989711046218872,1.0
uce_int4,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_k.weight,245760,241625,0.9831746419270834,0.0015552230179309845,0.027618408203125,0.0015818380052223802,0.0015553022967651486,0.0015817362582311034,241625,1.0,241551,0,74,0.9996937403000518,0.0,0.00030625969994826696,241625,1.0,0.9991951584815979,1.0
uce_int4,up_blocks.3.attentions.2.transformer_blocks.0.attn2.to_v.weight,245760,240862,0.9800699869791667,0.0005887073930352926,0.0133056640625,0.0006006789044477046,0.0005887449369765818,0.0006006519543007016,240862,1.0,240814,0,48,0.9998007157625528,0.0,0.00019928423744716893,240862,1.0,0.9989036917686462,1.0
