key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
up_blocks.2.resnets.0.conv1.weight,up,resnet_conv1,11059200,9671991,0.8745651584201389,4.8154386604437605e-05,0.00390625,5.506095112650655e-05,4.8154386604437605e-05,5.506095112650655e-05,9671991,1.0,9671660,0,331,0.9999657774702231,0.0,3.422252977696112e-05,9671991,1.0,0.9999829530715942,1.0,532.5490112304688,0.07169638574123383
up_blocks.0.resnets.0.conv2.weight,up,resnet_conv2,14745600,12891139,0.874236314561632,3.4338274417677894e-05,0.001953125,3.927802390535362e-05,3.4338274417677894e-05,3.927802390535362e-05,12891139,1.0,12890549,0,590,0.9999542321279756,0.0,4.576787202434168e-05,12891139,1.0,0.9999771118164062,1.0,506.3384704589844,0.04778648167848587
down_blocks.3.resnets.0.conv2.weight,down,resnet_conv2,14745600,12891941,0.8742907036675347,3.403947630431503e-05,0.001953125,3.8933820178499445e-05,3.403947630431503e-05,3.8933820178499445e-05,12891941,1.0,12891421,0,520,0.9999596647238768,0.0,4.0335276123277325e-05,12891941,1.0,0.9999798536300659,1.0,501.9324951171875,0.04075562208890915
mid_block.resnets.0.conv2.weight,mid,resnet_conv2,14745600,12892666,0.8743398708767361,3.308710438432172e-05,0.00146484375,3.784239015658386e-05,3.308710438432172e-05,3.7842382880626246e-05,12892666,1.0,12892093,0,573,0.9999555561278016,0.0,4.444387219834905e-05,12892666,1.0,0.9999778270721436,1.0,487.88922119140625,0.03994622081518173
down_blocks.3.resnets.0.conv1.weight,down,resnet_conv1,14745600,12891322,0.8742487250434028,3.3036823879228905e-05,0.001953125,3.778881364269182e-05,3.3036823879228905e-05,3.778881364269182e-05,12891322,1.0,12890772,0,550,0.9999573356402082,0.0,4.266435979180413e-05,12891322,1.0,0.9999786019325256,1.0,487.14776611328125,0.03909074515104294
mid_block.resnets.1.conv2.weight,mid,resnet_conv2,14745600,12892720,0.8743435329861111,3.303248013253324e-05,0.001953125,3.7779751437483355e-05,3.3032483770512044e-05,3.7779751437483355e-05,12892720,1.0,12892103,0,617,0.9999521435352664,0.0,4.7856464733586084e-05,12892720,1.0,0.9999760985374451,1.0,487.083740234375,0.04054529592394829
down_blocks.3.resnets.1.conv2.weight,down,resnet_conv2,14745600,12892096,0.8743012152777778,3.258373180869967e-05,0.001953125,3.726831346284598e-05,3.2583735446678475e-05,3.726831346284598e-05,12892096,1.0,12891521,0,575,0.9999553990289864,0.0,4.4600971013557456e-05,12892096,1.0,0.9999776482582092,1.0,480.4666748046875,0.03840760141611099
down_blocks.3.resnets.1.conv1.weight,down,resnet_conv1,14745600,12892442,0.8743246799045139,3.214253592886962e-05,0.001953125,3.676269989227876e-05,3.214253592886962e-05,3.676269989227876e-05,12892442,1.0,12891916,0,526,0.9999592009023581,0.0,4.0799097641858696e-05,12892442,1.0,0.9999796152114868,1.0,473.96099853515625,0.03753574565052986
mid_block.resnets.1.conv1.weight,mid,resnet_conv1,14745600,12891381,0.8742527262369791,3.193106022081338e-05,0.001953125,3.6523833841783926e-05,3.193106022081338e-05,3.6523833841783926e-05,12891381,1.0,12890807,0,574,0.9999554741264726,0.0,4.452587352743666e-05,12891381,1.0,0.999977707862854,1.0,470.8426513671875,0.03701672703027725
mid_block.resnets.0.conv1.weight,mid,resnet_conv1,14745600,12892817,0.874350111219618,3.127949821646325e-05,0.001953125,3.577456664061174e-05,3.127949821646325e-05,3.577456664061174e-05,12892817,1.0,12892234,0,583,0.9999547810226423,0.0,4.521897735770235e-05,12892817,1.0,0.9999774098396301,1.0,461.2349853515625,0.03592834249138832
