key,stage,family,numel,fp_changed_count,fp_changed_ratio,fp_mean_abs_delta,fp_max_abs_delta,fp_mean_abs_delta_changed_only,q_mean_abs_delta_to_base_all,q_mean_abs_delta_to_base_changed_only,q_survival_count,q_survival_ratio_over_fp_changed,closer_to_fp_count,closer_to_base_count,tie_count,closer_to_fp_ratio_over_fp_changed,closer_to_base_ratio_over_fp_changed,tie_ratio_over_fp_changed,same_sign_count,same_sign_ratio_over_fp_changed,mean_shrinkage_ratio_changed_only,median_shrinkage_ratio_changed_only,l1_delta,l2_delta_sq
mid_block.attentions.0.transformer_blocks.0.attn2.to_k.weight,mid,attn2_to_k,983040,893888,0.9093098958333333,0.00015130815154407173,0.00389862060546875,0.00016639888053759933,0.00015130815154407173,0.00016639888053759933,893888,1.0,893888,0,0,1.0,0.0,0.0,893888,1.0,1.0,1.0,148.74195861816406,0.10158217698335648
up_blocks.1.attentions.0.transformer_blocks.0.attn2.to_k.weight,up,attn2_to_k,983040,887026,0.9023295084635417,0.00014212189125828445,0.0045185089111328125,0.0001575055212015286,0.00014212189125828445,0.0001575055212015286,887026,1.0,887026,0,0,1.0,0.0,0.0,887026,1.0,1.0,1.0,139.7115020751953,0.08162625133991241
up_blocks.2.attentions.2.transformer_blocks.0.attn2.to_out.0.weight,up,attn2_to_out,409600,396495,0.96800537109375,0.0003325460129417479,0.0035648345947265625,0.00034353736555203795,0.0003325460129417479,0.00034353736555203795,396495,1.0,396495,0,0,1.0,0.0,0.0,396495,1.0,1.0,1.0,136.21084594726562,0.10477039217948914
down_blocks.1.attentions.1.transformer_blocks.0.attn2.to_v.weight,down,attn2_to_v,491520,468945,0.954071044921875,0.00027661878266371787,0.0037326812744140625,0.0002899352111853659,0.00027661878266371787,0.0002899352111853659,468945,1.0,468945,0,0,1.0,0.0,0.0,468945,1.0,1.0,1.0,135.9636688232422,0.1008182168006897
up_blocks.3.resnets.0.conv1.weight,up,resnet_conv1,2764800,2417871,0.8745193142361111,4.868648829869926e-05,0.0029296875,5.567228436120786e-05,4.868648829869926e-05,5.567228436120786e-05,2417871,1.0,2417781,0,90,0.9999627771704942,0.0,3.7222829505792495e-05,2417871,1.0,0.9999814033508301,1.0,134.6083984375,0.019807659089565277
down_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k.weight,down,attn2_to_k,983040,889828,0.9051798502604167,0.00013391564425546676,0.0033392906188964844,0.0001479436905356124,0.000133915658807382,0.0001479436905356124,889828,1.0,889828,0,0,1.0,0.0,0.0,889828,1.0,1.0,1.0,131.64443969726562,0.08064992725849152
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0.weight,up,attn2_to_out,409600,389984,0.952109375,0.0003189830749761313,0.00469207763671875,0.00033502778387628496,0.0003189830749761313,0.00033502772566862404,389984,1.0,389984,0,0,1.0,0.0,0.0,389984,1.0,1.0,1.0,130.6554718017578,0.12338221818208694
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_k.weight,up,attn2_to_k,983040,885163,0.9004343668619792,0.00012912385864183307,0.0031690597534179688,0.00014340174675453454,0.00012912385864183307,0.00014340174675453454,885163,1.0,885163,0,0,1.0,0.0,0.0,885163,1.0,1.0,1.0,126.93392181396484,0.05513610690832138
down_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,down,attn2_to_k,983040,889122,0.904461669921875,0.00012160504411440343,0.002628326416015625,0.00013445020886138082,0.00012160504411440343,0.0001344501943094656,889122,1.0,889122,0,0,1.0,0.0,0.0,889122,1.0,1.0,1.0,119.5426254272461,0.04435372352600098
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k.weight,up,attn2_to_k,491520,443950,0.9032185872395834,0.0002402224636171013,0.00521087646484375,0.0002659627061802894,0.0002402224636171013,0.0002659627061802894,443950,1.0,443950,0,0,1.0,0.0,0.0,443950,1.0,1.0,1.0,118.07414245605469,0.16684786975383759
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_q.weight,up,attn1_to_q,1638400,1433174,0.874739990234375,6.833743100287393e-05,0.0009765625,7.812313560862094e-05,6.833743100287393e-05,7.812313560862094e-05,1433174,1.0,1433149,0,25,0.9999825562004334,0.0,1.7443799566556467e-05,1433174,1.0,0.9999912977218628,1.0,111.96404266357422,0.017313402146100998
up_blocks.1.attentions.1.transformer_blocks.0.attn1.to_k.weight,up,attn1_to_k,1638400,1433175,0.8747406005859375,6.818196561653167e-05,0.001953125,7.794535486027598e-05,6.818196561653167e-05,7.794535486027598e-05,1433175,1.0,1433144,0,31,0.9999783697036301,0.0,2.1630296369947844e-05,1433175,1.0,0.9999892115592957,1.0,111.70933532714844,0.01728655956685543
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k.weight,down,attn1_to_k,1638400,1433106,0.874698486328125,6.754405330866575e-05,0.0009765625,7.721981091890484e-05,6.754405330866575e-05,7.721981091890484e-05,1433106,1.0,1433076,0,30,0.9999790664472831,0.0,2.0933552716965808e-05,1433106,1.0,0.9999895095825195,1.0,110.66417694091797,0.017372002825140953
down_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q.weight,down,attn1_to_q,1638400,1432776,0.8744970703125,6.743893754901364e-05,0.0009765625,7.711740181548521e-05,6.743893754901364e-05,7.711740181548521e-05,1432776,1.0,1432751,0,25,0.9999825513548524,0.0,1.744864514760158e-05,1432776,1.0,0.9999912977218628,1.0,110.49195861816406,0.017352454364299774
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_q.weight,up,attn1_to_q,1638400,1433344,0.87484375,6.523945921799168e-05,0.0009765625,7.457270112354308e-05,6.523945921799168e-05,7.457270112354308e-05,1433344,1.0,1433305,0,39,0.9999727909001608,0.0,2.720909983925701e-05,1433344,1.0,0.9999864101409912,1.0,106.8883285522461,0.015904288738965988
up_blocks.1.attentions.2.transformer_blocks.0.attn1.to_k.weight,up,attn1_to_k,1638400,1433269,0.8747979736328125,6.485125049948692e-05,0.00146484375,7.413283310597762e-05,6.485125049948692e-05,7.413283310597762e-05,1433269,1.0,1433242,0,27,0.9999811619451757,0.0,1.8838054824321184e-05,1433269,1.0,0.9999905824661255,1.0,106.25228881835938,0.01569647341966629
